Art.nM,t.min,Abs,Date,Annotation
0.4,0,0.22,20120729,0.4/0.1 nM
0.4,5,0.255,20120729,0.4/0.1 nM
0.4,10,0.295,20120729,0.4/0.1 nM
0.4,20,0.313,20120729,0.4/0.1 nM
0.4,30,0.329,20120729,0.4/0.1 nM
0.4,40,0.333,20120729,0.4/0.1 nM
0.4,50,0.343,20120729,0.4/0.1 nM
0.4,60,0.339,20120729,0.4/0.1 nM
0.4,70,0.351,20120729,0.4/0.1 nM
0.4,80,0.368,20120729,0.4/0.1 nM
0.4,90,0.375,20120729,0.4/0.1 nM
0.4,C1,0.533,20120729,0.4/0.1 nM
LB,LB,0.09,20120729,0.4/0.1 nM
no C,no C,0.24,20120729,0.4/0.1 nM
no D,no D,0.051,20120729,0.4/0.1 nM
0.4,0,0.631,20120808,0.4 nM 8min
0.4,5,0.583,20120808,0.4 nM 8min
0.4,10,0.59,20120808,0.4 nM 8min
0.4,20,0.621,20120808,0.4 nM 8min
0.4,30,0.62,20120808,0.4 nM 8min
0.4,40,0.664,20120808,0.4 nM 8min
0.4,50,0.635,20120808,0.4 nM 8min
0.4,60,0.602,20120808,0.4 nM 8min
0.4,70,0.624,20120808,0.4 nM 8min
0.4,80,0.638,20120808,0.4 nM 8min
0.4,90,0.616,20120808,0.4 nM 8min
0.4,C1,0.833,20120808,0.4 nM 8min
LB,LB,0.135,20120808,0.4 nM 8min
no C,no C,0.563,20120808,0.4 nM 8min
no D,no D,0.052,20120808,0.4 nM 8min
0.4,0,0.327,20120809,0.4 nM 7min
0.4,5,0.369,20120809,0.4 nM 7min
0.4,10,0.385,20120809,0.4 nM 7min
0.4,20,0.404,20120809,0.4 nM 7min
0.4,30,0.419,20120809,0.4 nM 7min
0.4,40,0.393,20120809,0.4 nM 7min
0.4,50,0.429,20120809,0.4 nM 7min
0.4,60,0.416,20120809,0.4 nM 7min
0.4,70,0.417,20120809,0.4 nM 7min
0.4,80,0.436,20120809,0.4 nM 7min
0.4,90,0.434,20120809,0.4 nM 7min
0.4,C1,0.876,20120809,0.4 nM 7min
LB,LB,0.106,20120809,0.4 nM 7min
no C,no C,0.274,20120809,0.4 nM 7min
no D,no D,0.058,20120809,0.4 nM 7min
0.4,0,0.371,20120811,0.4 nM 5.5min
0.4,5,0.445,20120811,0.4 nM 5.5min
0.4,10,0.413,20120811,0.4 nM 5.5min
0.4,20,0.484,20120811,0.4 nM 5.5min
0.4,30,0.507,20120811,0.4 nM 5.5min
0.4,40,0.51,20120811,0.4 nM 5.5min
0.4,50,0.51,20120811,0.4 nM 5.5min
0.4,60,0.523,20120811,0.4 nM 5.5min
0.4,70,0.487,20120811,0.4 nM 5.5min
0.4,80,0.534,20120811,0.4 nM 5.5min
0.4,90,0.529,20120811,0.4 nM 5.5min
0.4,C1,1.067,20120811,0.4 nM 5.5min
LB,LB,0.101,20120811,0.4 nM 5.5min
no C,no C,0.377,20120811,0.4 nM 5.5min
no D,no D,0.052,20120811,0.4 nM 5.5min
0.4,0,0.29,20120814,0.4/0.1 nM 5min
0.4,5,0.272,20120814,0.4/0.1 nM 5min
0.4,10,0.302,20120814,0.4/0.1 nM 5min
0.4,20,0.289,20120814,0.4/0.1 nM 5min
0.4,30,0.293,20120814,0.4/0.1 nM 5min
0.4,40,0.303,20120814,0.4/0.1 nM 5min
0.4,50,0.35,20120814,0.4/0.1 nM 5min
0.4,60,0.318,20120814,0.4/0.1 nM 5min
0.4,70,0.333,20120814,0.4/0.1 nM 5min
0.4,80,0.344,20120814,0.4/0.1 nM 5min
0.4,90,0.36,20120814,0.4/0.1 nM 5min
0.4,C1,0.863,20120814,0.4/0.1 nM 5min
LB,LB,0.081,20120814,0.4/0.1 nM 5min
no C,no C,0.263,20120814,0.4/0.1 nM 5min
no D,no D,0.055,20120814,0.4/0.1 nM 5min
0.4,0,0.268,20120729,0.4/0.1 nM
0.4,5,0.089,20120729,0.4/0.1 nM
0.4,10,0.3,20120729,0.4/0.1 nM
0.4,20,0.319,20120729,0.4/0.1 nM
0.4,30,0.328,20120729,0.4/0.1 nM
0.4,40,0.331,20120729,0.4/0.1 nM
0.4,50,0.337,20120729,0.4/0.1 nM
0.4,60,0.338,20120729,0.4/0.1 nM
0.4,70,0.353,20120729,0.4/0.1 nM
0.4,80,0.358,20120729,0.4/0.1 nM
0.4,90,0.367,20120729,0.4/0.1 nM
0.4,C1,0.518,20120729,0.4/0.1 nM
LB,LB,0.086,20120729,0.4/0.1 nM
no C,no C,0.243,20120729,0.4/0.1 nM
no D,no D,0.052,20120729,0.4/0.1 nM
0.4,0,0.587,20120808,0.4 nM 8min
0.4,5,0.567,20120808,0.4 nM 8min
0.4,10,0.578,20120808,0.4 nM 8min
0.4,20,0.615,20120808,0.4 nM 8min
0.4,30,0.618,20120808,0.4 nM 8min
0.4,40,0.634,20120808,0.4 nM 8min
0.4,50,0.65,20120808,0.4 nM 8min
0.4,60,0.636,20120808,0.4 nM 8min
0.4,70,0.631,20120808,0.4 nM 8min
0.4,80,0.641,20120808,0.4 nM 8min
0.4,90,0.614,20120808,0.4 nM 8min
0.4,C1,0.846,20120808,0.4 nM 8min
LB,LB,0.173,20120808,0.4 nM 8min
no C,no C,0.562,20120808,0.4 nM 8min
no D,no D,0.052,20120808,0.4 nM 8min
0.4,0,0.311,20120809,0.4 nM 7min
0.4,5,0.369,20120809,0.4 nM 7min
0.4,10,0.379,20120809,0.4 nM 7min
0.4,20,0.401,20120809,0.4 nM 7min
0.4,30,0.415,20120809,0.4 nM 7min
0.4,40,0.418,20120809,0.4 nM 7min
0.4,50,0.404,20120809,0.4 nM 7min
0.4,60,0.4,20120809,0.4 nM 7min
0.4,70,0.414,20120809,0.4 nM 7min
0.4,80,0.429,20120809,0.4 nM 7min
0.4,90,0.437,20120809,0.4 nM 7min
0.4,C1,0.827,20120809,0.4 nM 7min
LB,LB,0.123,20120809,0.4 nM 7min
no C,no C,0.278,20120809,0.4 nM 7min
no D,no D,0.058,20120809,0.4 nM 7min
0.4,0,0.378,20120811,0.4 nM 5.5min
0.4,5,0.449,20120811,0.4 nM 5.5min
0.4,10,0.471,20120811,0.4 nM 5.5min
0.4,20,0.493,20120811,0.4 nM 5.5min
0.4,30,0.507,20120811,0.4 nM 5.5min
0.4,40,0.516,20120811,0.4 nM 5.5min
0.4,50,0.499,20120811,0.4 nM 5.5min
0.4,60,0.505,20120811,0.4 nM 5.5min
0.4,70,0.466,20120811,0.4 nM 5.5min
0.4,80,0.499,20120811,0.4 nM 5.5min
0.4,90,0.511,20120811,0.4 nM 5.5min
0.4,C1,1.046,20120811,0.4 nM 5.5min
LB,LB,0.103,20120811,0.4 nM 5.5min
no C,no C,0.375,20120811,0.4 nM 5.5min
no D,no D,0.053,20120811,0.4 nM 5.5min
0.4,0,0.277,20120814,0.4/0.1 nM 5min
0.4,5,0.278,20120814,0.4/0.1 nM 5min
0.4,10,0.294,20120814,0.4/0.1 nM 5min
0.4,20,0.316,20120814,0.4/0.1 nM 5min
0.4,30,0.308,20120814,0.4/0.1 nM 5min
0.4,40,0.317,20120814,0.4/0.1 nM 5min
0.4,50,0.347,20120814,0.4/0.1 nM 5min
0.4,60,0.319,20120814,0.4/0.1 nM 5min
0.4,70,0.339,20120814,0.4/0.1 nM 5min
0.4,80,0.343,20120814,0.4/0.1 nM 5min
0.4,90,0.359,20120814,0.4/0.1 nM 5min
0.4,C1,0.854,20120814,0.4/0.1 nM 5min
LB,LB,0.088,20120814,0.4/0.1 nM 5min
no C,no C,0.258,20120814,0.4/0.1 nM 5min
no D,no D,0.055,20120814,0.4/0.1 nM 5min
0.1,0,0.259,20120729,0.4/0.1 nM
0.1,5,0.256,20120729,0.4/0.1 nM
0.1,10,0.277,20120729,0.4/0.1 nM
0.1,20,0.268,20120729,0.4/0.1 nM
0.1,30,0.294,20120729,0.4/0.1 nM
0.1,40,0.299,20120729,0.4/0.1 nM
0.1,50,0.28,20120729,0.4/0.1 nM
0.1,60,0.298,20120729,0.4/0.1 nM
0.1,70,0.275,20120729,0.4/0.1 nM
0.1,80,0.294,20120729,0.4/0.1 nM
0.1,90,0.311,20120729,0.4/0.1 nM
0.1,C2,0.549,20120729,0.4/0.1 nM
LB,LB,0.09,20120729,0.4/0.1 nM
no C,no C,0.24,20120729,0.4/0.1 nM
no D,no D,0.051,20120729,0.4/0.1 nM
0.1,0,0.534,20120808,0.4 nM 8min
0.1,5,0.476,20120808,0.4 nM 8min
0.1,10,0.489,20120808,0.4 nM 8min
0.1,20,0.496,20120808,0.4 nM 8min
0.1,30,0.471,20120808,0.4 nM 8min
0.1,40,0.52,20120808,0.4 nM 8min
0.1,50,0.591,20120808,0.4 nM 8min
0.1,60,0.571,20120808,0.4 nM 8min
0.1,70,0.577,20120808,0.4 nM 8min
0.1,80,0.558,20120808,0.4 nM 8min
0.1,90,0.524,20120808,0.4 nM 8min
0.1,C2,0.852,20120808,0.4 nM 8min
LB,LB,0.135,20120808,0.4 nM 8min
no C,no C,0.563,20120808,0.4 nM 8min
no D,no D,0.052,20120808,0.4 nM 8min
0.1,0,0.302,20120809,0.4 nM 7min
0.1,5,0.268,20120809,0.4 nM 7min
0.1,10,0.282,20120809,0.4 nM 7min
0.1,20,0.266,20120809,0.4 nM 7min
0.1,30,0.271,20120809,0.4 nM 7min
0.1,40,0.285,20120809,0.4 nM 7min
0.1,50,0.353,20120809,0.4 nM 7min
0.1,60,0.314,20120809,0.4 nM 7min
0.1,70,0.305,20120809,0.4 nM 7min
0.1,80,0.332,20120809,0.4 nM 7min
0.1,90,0.34,20120809,0.4 nM 7min
0.1,C2,0.868,20120809,0.4 nM 7min
LB,LB,0.106,20120809,0.4 nM 7min
no C,no C,0.274,20120809,0.4 nM 7min
no D,no D,0.058,20120809,0.4 nM 7min
0.1,0,0.371,20120811,0.1 nM 5.5min
0.1,5,0.387,20120811,0.1 nM 5.5min
0.1,10,0.379,20120811,0.1 nM 5.5min
0.1,20,0.409,20120811,0.1 nM 5.5min
0.1,30,0.41,20120811,0.1 nM 5.5min
0.1,40,0.409,20120811,0.1 nM 5.5min
0.1,50,0.417,20120811,0.1 nM 5.5min
0.1,60,0.423,20120811,0.1 nM 5.5min
0.1,70,0.415,20120811,0.1 nM 5.5min
0.1,80,0.406,20120811,0.1 nM 5.5min
0.1,90,0.398,20120811,0.1 nM 5.5min
0.1,C2,1.162,20120811,0.1 nM 5.5min
LB,LB,0.101,20120811,0.1 nM 5.5min
no C,no C,0.377,20120811,0.1 nM 5.5min
no D,no D,0.052,20120811,0.1 nM 5.5min
0.1,0,0.255,20120814,0.1 nM 5min
0.1,5,0.242,20120814,0.1 nM 5min
0.1,10,0.245,20120814,0.1 nM 5min
0.1,20,0.254,20120814,0.1 nM 5min
0.1,30,0.246,20120814,0.1 nM 5min
0.1,40,0.273,20120814,0.1 nM 5min
0.1,50,0.292,20120814,0.1 nM 5min
0.1,60,0.291,20120814,0.1 nM 5min
0.1,70,0.287,20120814,0.1 nM 5min
0.1,80,0.286,20120814,0.1 nM 5min
0.1,90,0.281,20120814,0.1 nM 5min
0.1,C2,0.862,20120814,0.1 nM 5min
LB,LB,0.081,20120814,0.1 nM 5min
no C,no C,0.263,20120814,0.1 nM 5min
no D,no D,0.055,20120814,0.1 nM 5min
0.1,0,0.273,20120729,0.4/0.1 nM
0.1,5,0.256,20120729,0.4/0.1 nM
0.1,10,0.272,20120729,0.4/0.1 nM
0.1,20,0.268,20120729,0.4/0.1 nM
0.1,30,0.287,20120729,0.4/0.1 nM
0.1,40,0.297,20120729,0.4/0.1 nM
0.1,50,0.286,20120729,0.4/0.1 nM
0.1,60,0.287,20120729,0.4/0.1 nM
0.1,70,0.275,20120729,0.4/0.1 nM
0.1,80,0.295,20120729,0.4/0.1 nM
0.1,90,0.317,20120729,0.4/0.1 nM
0.1,C2,0.555,20120729,0.4/0.1 nM
LB,LB,0.086,20120729,0.4/0.1 nM
no C,no C,0.243,20120729,0.4/0.1 nM
no D,no D,0.052,20120729,0.4/0.1 nM
0.1,0,0.619,20120808,0.4 nM 8min
0.1,5,0.543,20120808,0.4 nM 8min
0.1,10,0.568,20120808,0.4 nM 8min
0.1,20,0.568,20120808,0.4 nM 8min
0.1,30,0.55,20120808,0.4 nM 8min
0.1,40,0.586,20120808,0.4 nM 8min
0.1,50,0.593,20120808,0.4 nM 8min
0.1,60,0.56,20120808,0.4 nM 8min
0.1,70,0.563,20120808,0.4 nM 8min
0.1,80,0.565,20120808,0.4 nM 8min
0.1,90,0.538,20120808,0.4 nM 8min
0.1,C2,0.859,20120808,0.4 nM 8min
LB,LB,0.173,20120808,0.4 nM 8min
no C,no C,0.562,20120808,0.4 nM 8min
no D,no D,0.052,20120808,0.4 nM 8min
0.1,0,0.361,20120809,0.4 nM 7min
0.1,5,0.306,20120809,0.4 nM 7min
0.1,10,0.314,20120809,0.4 nM 7min
0.1,20,0.307,20120809,0.4 nM 7min
0.1,30,0.301,20120809,0.4 nM 7min
0.1,40,0.321,20120809,0.4 nM 7min
0.1,50,0.341,20120809,0.4 nM 7min
0.1,60,0.337,20120809,0.4 nM 7min
0.1,70,0.317,20120809,0.4 nM 7min
0.1,80,0.348,20120809,0.4 nM 7min
0.1,90,0.349,20120809,0.4 nM 7min
0.1,C2,0.898,20120809,0.4 nM 7min
LB,LB,0.123,20120809,0.4 nM 7min
no C,no C,0.278,20120809,0.4 nM 7min
no D,no D,0.058,20120809,0.4 nM 7min
0.1,0,0.378,20120811,0.1 nM 5.5min
0.1,5,0.389,20120811,0.1 nM 5.5min
0.1,10,0.379,20120811,0.1 nM 5.5min
0.1,20,0.397,20120811,0.1 nM 5.5min
0.1,30,0.394,20120811,0.1 nM 5.5min
0.1,40,0.404,20120811,0.1 nM 5.5min
0.1,50,0.43,20120811,0.1 nM 5.5min
0.1,60,0.456,20120811,0.1 nM 5.5min
0.1,70,0.431,20120811,0.1 nM 5.5min
0.1,80,0.425,20120811,0.1 nM 5.5min
0.1,90,0.416,20120811,0.1 nM 5.5min
0.1,C2,1.187,20120811,0.1 nM 5.5min
LB,LB,0.103,20120811,0.1 nM 5.5min
no C,no C,0.375,20120811,0.1 nM 5.5min
no D,no D,0.053,20120811,0.1 nM 5.5min
0.1,0,0.263,20120814,0.1 nM 5min
0.1,5,0.252,20120814,0.1 nM 5min
0.1,10,0.258,20120814,0.1 nM 5min
0.1,20,0.267,20120814,0.1 nM 5min
0.1,30,0.265,20120814,0.1 nM 5min
0.1,40,0.283,20120814,0.1 nM 5min
0.1,50,0.287,20120814,0.1 nM 5min
0.1,60,0.293,20120814,0.1 nM 5min
0.1,70,0.291,20120814,0.1 nM 5min
0.1,80,0.298,20120814,0.1 nM 5min
0.1,90,0.293,20120814,0.1 nM 5min
0.1,C2,0.888,20120814,0.1 nM 5min
LB,LB,0.088,20120814,0.1 nM 5min
no C,no C,0.258,20120814,0.1 nM 5min
no D,no D,0.055,20120814,0.1 nM 5min
1,0,0.266,20120719,1 nM PLATE0903 8min
1,5,0.5,20120719,1 nM PLATE0903 8min
1,10,0.576,20120719,1 nM PLATE0903 8min
1,20,0.707,20120719,1 nM PLATE0903 8min
1,30,0.751,20120719,1 nM PLATE0903 8min
1,40,0.839,20120719,1 nM PLATE0903 8min
1,50,0.792,20120719,1 nM PLATE0903 8min
1,60,0.709,20120719,1 nM PLATE0903 8min
1,70,0.764,20120719,1 nM PLATE0903 8min
1,80,0.746,20120719,1 nM PLATE0903 8min
1,90,0.667,20120719,1 nM PLATE0903 8min
1,C,0.954,20120719,1 nM PLATE0903 8min
LB,LB,0.073,20120719,1 nM PLATE0903 8min
no C,no C,0.278,20120719,1 nM PLATE0903 8min
no D,no D,0.046,20120719,1 nM PLATE0903 8min
1,0,0.266,20120719,1 nM PLATE0903 8min-2
1,5,0.346,20120719,1 nM PLATE0903 8min-2
1,10,0.403,20120719,1 nM PLATE0903 8min-2
1,20,0.488,20120719,1 nM PLATE0903 8min-2
1,30,0.522,20120719,1 nM PLATE0903 8min-2
1,40,0.569,20120719,1 nM PLATE0903 8min-2
1,50,0.671,20120719,1 nM PLATE0903 8min-2
1,60,0.734,20120719,1 nM PLATE0903 8min-2
1,70,0.645,20120719,1 nM PLATE0903 8min-2
1,80,0.653,20120719,1 nM PLATE0903 8min-2
1,90,0.634,20120719,1 nM PLATE0903 8min-2
1,C,0.746,20120719,1 nM PLATE0903 8min-2
1,0,0.293,20120721,1-0.4 nM PLATE0910 8min
1,5,0.448,20120721,1-0.4 nM PLATE0910 8min
1,10,0.565,20120721,1-0.4 nM PLATE0910 8min
1,20,0.667,20120721,1-0.4 nM PLATE0910 8min
1,30,0.684,20120721,1-0.4 nM PLATE0910 8min
1,40,0.752,20120721,1-0.4 nM PLATE0910 8min
1,50,0.77,20120721,1-0.4 nM PLATE0910 8min
1,60,0.717,20120721,1-0.4 nM PLATE0910 8min
1,70,0.731,20120721,1-0.4 nM PLATE0910 8min
1,80,0.733,20120721,1-0.4 nM PLATE0910 8min
1,90,0.716,20120721,1-0.4 nM PLATE0910 8min
1,C,0.91,20120721,1-0.4 nM PLATE0910 8min
LB,LB,0.073,20120721,1-0.4 nM PLATE0910 8min
no C,no C,0.314,20120721,1-0.4 nM PLATE0910 8min
no D,no D,0.044,20120721,1-0.4 nM PLATE0910 8min
1,0,0.28,20120721,1-0.4 nM PLATE0910 8min-2
1,5,0.395,20120721,1-0.4 nM PLATE0910 8min-2
1,10,0.411,20120721,1-0.4 nM PLATE0910 8min-2
1,20,0.406,20120721,1-0.4 nM PLATE0910 8min-2
1,30,0.428,20120721,1-0.4 nM PLATE0910 8min-2
1,40,0.499,20120721,1-0.4 nM PLATE0910 8min-2
1,50,0.525,20120721,1-0.4 nM PLATE0910 8min-2
1,60,0.525,20120721,1-0.4 nM PLATE0910 8min-2
1,70,0.546,20120721,1-0.4 nM PLATE0910 8min-2
1,80,0.596,20120721,1-0.4 nM PLATE0910 8min-2
1,90,0.623,20120721,1-0.4 nM PLATE0910 8min-2
1,C,0.594,20120721,1-0.4 nM PLATE0910 8min-2
1,0,0.274,20120719,1 nM PLATE0903 8min
1,5,0.479,20120719,1 nM PLATE0903 8min
1,10,0.551,20120719,1 nM PLATE0903 8min
1,20,0.66,20120719,1 nM PLATE0903 8min
1,30,0.674,20120719,1 nM PLATE0903 8min
1,40,0.791,20120719,1 nM PLATE0903 8min
1,50,0.784,20120719,1 nM PLATE0903 8min
1,60,0.697,20120719,1 nM PLATE0903 8min
1,70,0.728,20120719,1 nM PLATE0903 8min
1,80,0.704,20120719,1 nM PLATE0903 8min
1,90,0.66,20120719,1 nM PLATE0903 8min
1,C,0.948,20120719,1 nM PLATE0903 8min
LB,LB,0.077,20120719,1 nM PLATE0903 8min
no C,no C,0.298,20120719,1 nM PLATE0903 8min
no D,no D,0.046,20120719,1 nM PLATE0903 8min
1,0,0.274,20120719,1 nM PLATE0903 8min-2
1,5,0.379,20120719,1 nM PLATE0903 8min-2
1,10,0.433,20120719,1 nM PLATE0903 8min-2
1,20,0.522,20120719,1 nM PLATE0903 8min-2
1,30,0.572,20120719,1 nM PLATE0903 8min-2
1,40,0.665,20120719,1 nM PLATE0903 8min-2
1,50,0.683,20120719,1 nM PLATE0903 8min-2
1,60,0.708,20120719,1 nM PLATE0903 8min-2
1,70,0.614,20120719,1 nM PLATE0903 8min-2
1,80,0.676,20120719,1 nM PLATE0903 8min-2
1,90,0.577,20120719,1 nM PLATE0903 8min-2
1,C,0.756,20120719,1 nM PLATE0903 8min-2
1,0,0.306,20120721,1-0.4 nM PLATE0910 8min
1,5,0.385,20120721,1-0.4 nM PLATE0910 8min
1,10,0.539,20120721,1-0.4 nM PLATE0910 8min
1,20,0.648,20120721,1-0.4 nM PLATE0910 8min
1,30,0.667,20120721,1-0.4 nM PLATE0910 8min
1,40,0.937,20120721,1-0.4 nM PLATE0910 8min
1,50,0.722,20120721,1-0.4 nM PLATE0910 8min
1,60,0.704,20120721,1-0.4 nM PLATE0910 8min
